,0
درخواست مهمانی و انتقال سلام من انتقالی گرفتم از دانشگاه یزد به واحد الکترونیک تهران چجوری باید ثبت نام کنم باید حضوری بیام؟,1
قبول کردن درخواست وام تامین شهریه در سامانه ساجد,1
برای ورود ب سامانه آموزشیار با خطای نام کاربری ورمز اشتباه مواجه شدم درخواست نام کاربری یا رمز و باز شدن سایت جهت انتخاب واحد,1
بابت درخواست انتقالی من اشتباهی در خواست انتقالی همزمان را انتخاب کردم... و الان میخوام درخواست میهمان ترم کامل درخواست بدم از یزد به شیراز,1
اخذ 24 واحد در انتخاب واحد تکمیلی,1
برای ورود به سامانه اموزشیار با خطای نام کاربری و رمز عبور اشتباه مواجه شدم و وارد سایت نمیشه در خواست نام کاربری یا رمز و باز شدن سایت جهت انتخاب واحد دارم,1
شهریه دانشگاه مقصد,1
پیگیری درخواست برگشت 40 درصد شهریه ثابت,1
درخواست لیست دروس مهمانی,1
مرحله 10 پژوهشیار,1
شهریه ثابت,1
درخواست دریافت لیست دروس,1
فرم ضمیمه ملاحظات اخلاقی,1
فرم ضمیمه ملاحظات اخلاقی رساله ظریفی,1
با سلام درخواست اخذ کد اخلاق برای رشته های غیرپزشکی را دارم.,1
اخذ کد دفاع,1
مدارک لازم جهت اخذ کد اخلاق,1
دریافت لیست دروس از یزد به مشهد,1
نمره پایان نامه در پژوهشیار ثبت شود,1
درخواست پیگیری ریز نمرات و معرفی به استاد,1
صورت جلسه شورای پژوهشی گروه روانشناسی,1
لطفا رسیدگی کنید چون فرصتی برای انتخاب واحد مجدد نمانده است,1
درخواست اخذ معرفی نامه جهت جمع آوری داده از بیمارستانها، دانشجویان پزشکی و پرستاری,1
دریافت کارت دانشجویی,1
درخواست ویرایش پژوهشیار,1
درخواست اشتغال به تحصیل,1
درخواست انتخاب خانم دکتر فرخنده خالقی، متخصص قلب و عروق، به عنوان استاد مشاور... شماره تماس استاد: 09132512457,1
درخواست ارسال لیست دروس,1
درخواست انتخاب جناب آقای دکتر محمدرضا دهستانی، فوق تخصص نفرولوژی، به عنوان استاد مشاور... شماره تلفن استاد: 09133523721,1
انتخاب درس تئوری سازمان (جبرانی),1
درخواست باز کردن سایت پژوهش یار جهت ویرایش پروپوزال,1
انتقال به مرحله 13 پژوهشيار,1
فايل پايان نامه نهايي,1
درخواست اخذ کپی مدرک تحصیلی قبلی,1
پیش نیاز,1
درخواست تمدید انتخاب واحد پایان نامه,1
سلام و عرض ادب، درخواست چک لیست جهت انجام کار های فارغ التحصیلی دارم,1
درخواست لیست دروس از یزد به مشهد,1
در خواست انتقال به مرحله بعد,1
درخواست تعیین داور جهت دفاع پایان نامه,1
درخواست بررسی وضعیت شهریه,1
درخواست کد اخلاق برای دانشجویان پزشکی  پرستاری.,1
درخواست باز شدن مجوز قسمت ویرایش پژوهشیار,1
درخواست تغییر رمز و مشکل در ورود به آموزشیار,1
درخواست ریز نمرات در حین تحصیل,1
درخواست تعیین نوبت جهت دفاع پایان نامه,1
درخواست اخذ دروس( معارف تاریخ تمدن وتفسیر موضوعی نهج البلاغه وورزش),1
در خواست معرفی به استاد,1
درخواست انتخاب واحد,1
درخواست اخذ بیشتر از بیست واحد,1
بررسی کارشناس برای امضای فرم آمادگی دفاع,1
درخواست تخفیف شهریه  ( ازدواج دانشجویی),1
صدور گواهی اشتغال به تحصیل,1
درخواست انتقال به مرحله ی 14 در پژوهشیار,1
درخواست اخذ کد رهگیری,1
اخذ کد رهگیری پایان نامه,1
درخواست مربوط به امتحانات مجدد شهریور ماه,1
فرم آمادگی دفاع,1
درخواست فرم دفاع کارشناسی ارشد ناپیوسته,1
مجوز ترم آخر,1
اینجانب مهدیه لاله تفتی اعلام آمادگی دفاع پایان نامه را اعلام میدارم,1
تقاضای ثبت دانشجوی ترم آخر,1
مشکل در ورود به سیستم اموزشیار,1
افزایش ظرفیت درس عمومی ورزش ۱,1
درخواست اخذ مجوز دفاع,1
وقتی میرم کافی نتی برای حذف اضافه نمیتونم انتخاب واحد کنم باید چیکار کنم تا امروز بیشتر وقت ندارم,1
با سلام. ترم آخر هستم یکی از درس ها با درس دیگر زمان امتحان تداخل دارد و نتوانستم درس را اخذ کنم راهنمایی میکنید لطفا,1
درخواست انتخاب واحد دانشجوی ترم اخر,1
تغییر شماره و رمز حساب کاربری,1
انتخاب واحد,1
